job_id,job_title,company,salary_min,salary_max,yrs_of_exp_min,yrs_of_exp_max,job_city,due_date,jd,job_url,salary_text,company_name,company_link,updated_at,time_left,tags,location
1914176,Chuyên Viên IT Nội Bộ (System Admin),N/A,12.0,20.0,2.0,2.0,Hà Nội,,"1. Quản trị hệ thống CNTT nội bộCài đặt, cấu hình, bảo trì máy tính, máy chủ và thiết bị văn phòng (máy in, máy scan, máy chấm công...).Cài đặt và quản lý phần mềm bản quyền (AutoCAD, Dự toán, Office, ERP...) và cập nhật định kỳ.Quản lý hệ thống email nội bộ, phân quyền và thu hồi tài khoản nhân sự.Quản trị hệ thống NAS/Cloud, server, camera giám sát, và phần mềm nội bộ.Hỗ trợ triển khai ứng dụng, giải pháp chuyển đổi số của công ty.2. Quản lý mạng & kết nối từ xaLắp đặt, cấu hình và bảo trì hệ thống mạng LAN/Wi-Fi tại văn phòng và công trường.Thiết lập và hỗ trợ truy cập từ xa (VPN...) cho nhân sự.Xử lý sự cố mạng, modem, switch, Wi-Fi trong 2–4h làm việc; phối hợp nhà mạng khi cần.3. Bảo mật & sao lưu dữ liệuThực hiện sao lưu dữ liệu định kỳ theo quy trình.Quản lý phân quyền truy cập, dữ liệu phòng ban/dự án.Quản trị hệ thống diệt virus, tường lửa, phần mềm bảo mật.Khắc phục sự cố mất dữ liệu, tấn công mạng và phục hồi khi cần.4. Hỗ trợ kỹ thuật người dùng & quản lý tài sản CNTTHỗ trợ người dùng xử lý lỗi phần cứng, phần mềm, mạng.Hướng dẫn sử dụng thiết bị, phần mềm mới.Quản lý danh mục thiết bị CNTT (mã tài sản, tình trạng, người sử dụng).Đề xuất mua mới, sửa chữa, bàn giao – thu hồi thiết bị khi nhân sự đến/đi.5. Thực hiện các công việc khác theo phân công của quản lý.- Lưu ý Địa điểm làm việc: 1. Địa điểm làm việc: Km 188 + 300 cao tốc Pháp Vân -  Cầu Giẽ (ngay trạm thu phí BOT Pháp Vân, Cầu Giẽ) 2. Tháng 2/2027:  Tòa nhà 30 tầng Phương Thành xây xong, địa điểm làm việc tại Dương Đình Nghệ, Yên Hòa, Cầu Giấy, Hà Nội.",https://www.topcv.vn/viec-lam/chuyen-vien-it-noi-bo-system-admin/1914176.html?ta_source=ITJobs_LinkDetail,12 - 20 triệu,Công ty Cổ phần Đầu tư và Xây dựng Giao thông Phương Thành,https://www.topcv.vn/cong-ty/cong-ty-co-phan-dau-tu-va-xay-dung-giao-thong-phuong-thanh/229028.html,Cập nhật 2 ngày trước,Còn27ngày để ứng tuyển,"Khắc Phục Sự Cố Phần Cứng Và Phần Mềm, Bảo Mật Hệ Thống, Sao Lưu Và Phục Hồi Dữ Liệu, 2+",Hà Nội
1936936,Chuyên Viên Phát Triển Phần Mềm,N/A,,,2.0,2.0,Hà Nội,,"Phát triển và duy trì các ứng dụng web sử dụng Node.js, TypeScript, và React JS.Thiết kế giao diện người dùng (UI) responsive và tối ưu trải nghiệm người dùng (UX) với Tailwind CSS.Làm việc với cơ sở dữ liệu MySQL và MongoDB để xây dựng và tối ưu hóa các truy vấn dữ liệu.Tham gia vào toàn bộ vòng đời phát triển phần mềm, từ phân tích yêu cầu, thiết kế, coding, đến kiểm thử và triển khai.Phối hợp với các thành viên trong nhóm (Frontend, Backend, QA) để đảm bảo chất lượng sản phẩm.Đề xuất và triển khai các cải tiến kỹ thuật để nâng cao hiệu suất và khả năng mở rộng của ứng dụng.Viết mã sạch, dễ bảo trì và tuân thủ các tiêu chuẩn coding tốt nhất.Tham gia review code và hỗ trợ các thành viên khác trong nhóm.Thực hiện các công việc khác theo yêu cầu của lãnh đạo.",https://www.topcv.vn/viec-lam/chuyen-vien-phat-trien-phan-mem/1936936.html?ta_source=ITJobs_LinkDetail,Thoả thuận,CÔNG TY CỔ PHẦN GIÁO DỤC SỐ CÁNH DIỀU VÀNG,https://www.topcv.vn/cong-ty/cong-ty-co-phan-giao-duc-so-canh-dieu-vang/224117.html,Cập nhật 2 ngày trước,Còn27ngày để ứng tuyển,"Lập Trình, phân tích yêu cầu, Kiểm thử phần mềm, 2+",Hà Nội
1657287,Nhân Viên IT - Phần Cứng,N/A,11.0,12.0,,1.0,Hải Dương,,"IT phần cứng chịu trách nhiệm cài đặt, bảo trì và sửa chữa các thiết bị phần để đảm bảo rằng hệ thống máy tính và mạng hoạt động một cách ổn định và hiệu quả.Quản lý hệ thống máy chủ, máy tính, Wifi, camera, máy in, máy chấm công, điện thoại bàn;Quản trị hệ điều hành máy chủ, theo dõi backup dữ liệu và đảm bảo an toàn;Xử lý sự cố mạng, thiết bị công nghệ thông tin, máy tính và hỗ trợ người dùng;Đề xuất bảo trì, nâng cấp hệ thống và ứng dụng CNTT;Cập nhật bản vá Windows Server, Windows client, phần mềm antivirus;Theo dõi và vận hành hệ thống mạng LAN, Internet, điện thoại;Thực hiện các công việc khác theo yêu cầu của quản lý.",https://www.topcv.vn/viec-lam/nhan-vien-it-phan-cung/1657287.html?ta_source=ITJobs_LinkDetail,11 - 12 triệu,CÔNG TY TNHH MAY TINH LỢI,https://www.topcv.vn/cong-ty/cong-ty-tnhh-may-tinh-loi/123706.html,Cập nhật 2 ngày trước,Còn27ngày để ứng tuyển,"Quản Lý Hệ Thống, Khắc Phục Sự Cố Phần Cứng, Khắc Phục Sự Cố Phần Mềm, 8+",Hải Dương
1628345,System Administrator (Windows OS & VMware),N/A,30.0,35.0,2.0,2.0,Hồ Chí Minh,,"GIỚI THIỆU:CMC Telecom tự hào giữ vị trí là công ty Công nghệ - Viễn thông tư nhân hàng đầu Việt Nam.Sau 16 năm phát triển không ngừng, CMC Telecom đã phát triển thành công từ cung cấp dịch vụ truyền dẫn cơ bản sang cung cấp dịch vụ toàn diện thông qua 5 hoạt động kinh doanh chính: Kênh truyền dẫn Internet, Trung tâm dữ liệu, Điện toán đám mây, Dịch vụ quản trị CNTT và An toàn thông tin.MÔ TẢ CÔNG VIỆC:Vận hành cơ sở hạ tầng CNTT thiết yếu, bao gồm VM servers vật lý/ảo, SAN storage, Red Hat và VMware.Vận hành công tác cài đặt, đồng bộ hóa, sao lưu và khôi phục cơ sở dữ liệu (Database) giữa các sites.Cài đặt, cấu hình và bảo trì hệ thống VMware vSphere environments (ESXi, vCenter).Xử lý những sự cố liên quan đến Windows OS và sự cố ảo hóa.Làm việc với các bên liên quan và cung cấp/triển khai kiến ​trúc cơ sở hạ tầng CNTT trong các dự án CNTT.Theo dõi các nhóm có liên quan và cung cấp các bản cập nhật/báo cáo về các vấn đề liên quan đến cơ sở hạ tầng CNTT.",https://www.topcv.vn/viec-lam/system-administrator-windows-os-vmware/1628345.html?ta_source=ITJobs_LinkDetail,30 - 35 triệu,Công ty cổ phần Hạ tầng Viễn thông CMC Telecom,https://www.topcv.vn/cong-ty/cong-ty-co-phan-ha-tang-vien-thong-cmc-telecom/200874.html,Cập nhật 2 ngày trước,Còn54ngày để ứng tuyển,"Giải Quyết Sự Cố Hệ Thống, Kiến Trúc Hệ Thống, Mạng Máy Tính (tcp Ip, Routing, Switching), 2+",Hồ Chí Minh
1706408,2D UI/UX Artist (Game),N/A,8.0,20.0,1.0,1.0,Hà Nội,,"Xây dựng ý tưởng, thiết kế giao diện (UI) cho những sản phẩm game;Thiết kế giao diện thân thiện, thu hút và dễ dàng sử dụng cho người chơi (UX)Thiết kế banner, poster, background, screenshot quảng cáo cho gameNghiên cứu, đề xuất ý tưởng giúp các sản phẩm game được tối ưu tốt nhất cho trải nghiệm người dùng.",https://www.topcv.vn/viec-lam/2d-ui-ux-artist-game/1706408.html?ta_source=ITJobs_LinkDetail,8 - 20 triệu,Công ty TNHH Horus Productions,https://www.topcv.vn/cong-ty/cong-ty-tnhh-horus-productions/181741.html,Cập nhật 2 ngày trước,Còn27ngày để ứng tuyển,"Illustrator, Photoshop, AI, 1+",Hà Nội
1938238,Chuyên Viên Phát Triển Phần Mềm Odoo,N/A,,45.0,4.0,4.0,Hà Nội,,"Phát triển các hệ thống phần mềm dành cho doanh nghiệp như CRM, HRM, IoT, MES... dựa trên nền tảng Odoo.Tham gia toàn diện vào vòng đời phát triển phần mềm: từ khảo sát yêu cầu, thiết kế giải pháp hệ thống, phát triển tính năng, kiểm thử cho đến bảo trì sau triển khai.Tùy biến và xây dựng các mô-đun Odoo đảm bảo đúng nghiệp vụ, tối ưu về hiệu suất và khả năng mở rộng cho tương lai.Thiết kế, phát triển API (REST/XML-RPC) để tích hợp Odoo với ứng dụng di động, thiết bị IoT và các nền tảng bên ngoài.Làm việc chủ yếu với cơ sở dữ liệu PostgreSQL; có hiểu biết về các hệ quản trị khác là một lợi thế.Đảm bảo hệ thống vận hành ổn định trên môi trường điện toán đám mây (ưu tiên AWS), tối ưu hiệu năng để phục vụ lượng lớn người dùng và thiết bị.Xây dựng mã nguồn có thể tái sử dụng, phát triển thư viện dùng chung nội bộ và chuẩn hóa quy trình lập trình dự án.Chủ động tìm hiểu, cập nhật công nghệ mới nhằm cải tiến chất lượng phần mềm và tối ưu hóa các quy trình DevOps, CI/CD.",https://www.topcv.vn/viec-lam/chuyen-vien-phat-trien-phan-mem-odoo/1938238.html?ta_source=ITJobs_LinkDetail,Tới 45 triệu,Công ty Cổ phần Tập đoàn Karofi,https://www.topcv.vn/cong-ty/cong-ty-co-phan-tap-doan-karofi/201109.html,Cập nhật 2 ngày trước,Còn54ngày để ứng tuyển,"Python, Odoo Framework, Javascript, 2+",Hà Nội
1937365,Nhân Viên IT,N/A,15.0,20.0,2.0,2.0,Thái Bình,,"Phát triển và duy trì các ứng dụng backend sử dụng Java Spring Boot.Thiết kế, xây dựng API phục vụ tích hợp với các hệ thống khác.Làm việc với cơ sở dữ liệu PostgreSQL: thiết kế schema, tối ưu truy vấn, đảm bảo hiệu năng hệ thống.Phối hợp với team Frontend, BA, QA để đảm bảo chất lượng sản phẩm.Tham gia vào quá trình phân tích, thiết kế kiến trúc, đề xuất giải pháp kỹ thuật.Viết tài liệu kỹ thuật và hỗ trợ vận hành khi cần.",https://www.topcv.vn/viec-lam/nhan-vien-it/1937365.html?ta_source=ITJobs_LinkDetail,15 - 20 triệu,CÔNG TY TNHH MTV TIẾN QUÂN,https://www.topcv.vn/cong-ty/cong-ty-tnhh-mtv-tien-quan/241332.html,Cập nhật 2 ngày trước,Còn27ngày để ứng tuyển,"Tư duy logic, Giải quyết vấn đề, Khả Năng Làm Việc Độc Lập, 2+",Thái Bình
1938123,UI Artist,N/A,,,1.0,1.0,Hà Nội,,"Thiết kế giao diện người dùng (UI) cho các sản phẩm game casual 3D (menu, icon, button, popup, HUD, UI flow...).Đảm bảo tính thẩm mỹ, trực quan, dễ hiểu và nhất quán trong trải nghiệm người chơi.Phối hợp chặt chẽ với Game Designer, UX Designer, 2D/3D Artist, Animator để hiện thực hóa ý tưởng UI trong game.Thiết kế và phát triển UI animation, transition (nếu có) nhằm tăng tính sinh động cho giao diện.Nghiên cứu, cập nhật xu hướng UI/UX trong ngành game casual quốc tế để áp dụng sáng tạo vào sản phẩm.Tham gia đóng góp ý tưởng cho hướng mỹ thuật tổng thể của sản phẩm.",https://www.topcv.vn/viec-lam/ui-artist/1938123.html?ta_source=ITJobs_LinkDetail,Thoả thuận,Công Ty Cổ Phần VCCorp - SohaGame,https://www.topcv.vn/cong-ty/cong-ty-co-phan-vccorp-sohagame/153.html,Cập nhật 3 ngày trước,Còn27ngày để ứng tuyển,"Thiết Kế Giao Diện Người Dùng (ui), Kỹ Năng Thiết Kế Đồ Họa, Hiểu Biết Về Nguyên Tắc Thiết Kế Ui Ux, 2+",Hà Nội
1938148,Chuyên Viên Công Nghệ Thông Tin,N/A,,,2.0,2.0,Hà Nội,,"1. Quản trị Hạ tầng & Mạng lưới:Lập kế hoạch, tổ chức, giám sát và đảm bảo sự vận hành thông suốt của toàn bộ hạ tầng CNTTQuản trị các thiết bị cốt lõi như Firewall, Core/Access Switch, Router, VPN, Wi-Fi tại tất cả các văn phòng của Công tyThực hiện cài đặt, cấu hình và bảo trì định kỳ các máy chủ (Windows/Linux), hệ thống mạng và tổng đài - Call CenterQuản trị Hạ tầng & Mạng lưới2. Quản lý Hệ thống Phần mềm & Ứng dụng:Quản trị và duy trì hoạt động ổn định của các hệ thống phần mềmQuản lý các dịch vụ máy chủ như AD, DHCP, DNS, Email Server Gateway, File ServersPhối hợp với nhà cung cấp để nâng cấp, bảo trì và khắc phục lỗi hệ thống3. Bảo mật, Sao lưu & Giám sát Hệ thống:Xây dựng và thực thi các quy định Bảo mật, bao gồm chống virus, tường lửa và kiểm soát đột nhậpĐảm bảo an toàn thông tin và bảo mật dữ liệu nội bộ/khách hàngThực hiện chính sách sao lưu và khôi phục dữ liệu định kỳ4. Hỗ trợ Kỹ thuật (Help Desk) & Tài sản IT:Hỗ trợ kỹ thuật kịp thời cho nhân viên về phần cứng, phần mềm, mạng, email, và điện thoại IPĐào tạo cơ bản cho nhân viên mới về quy định sử dụng hệ thống CNTTQuản lý toàn bộ tài sản IT (cấp phát, thu hồi, bảo dưỡng, lập danh mục kỹ thuật và báo cáo định kỳ về tình trạng hệ thống)5. Thực hiện các công việc khác theo mục tiêu chung của Công ty.",https://www.topcv.vn/viec-lam/chuyen-vien-cong-nghe-thong-tin/1938148.html?ta_source=ITJobs_LinkDetail,Thoả thuận,Công ty TNHH Quản lý Khách sạn - Bitexco,https://www.topcv.vn/cong-ty/cong-ty-tnhh-quan-ly-khach-san-bitexco/134701.html,Cập nhật 3 ngày trước,Còn27ngày để ứng tuyển,"Kiến Thức Về Phần Cứng Và Phần Mềm, Khả năng giải quyết vấn đề, kỹ năng phân tích, 2+",Hà Nội
1937626,Developer Phát Triển Phần Mềm Chuyển Đổi Số (PHP),N/A,,,2.0,2.0,Hà Nội,,"Thành viên phát triển phần mềm chuyển đổi số nội bộ nhằm tối ưu hóa quy trình làm việc và số hóa các hoạt động trong doanh nghiệp.Tham gia thiết kế, phát triển và triển khai duy trì các hệ thống phần mềm giúp nâng cao hiệu suất làm việc của toàn công ty. Cụ thể:Phát triển và duy trì ứng dụng di động đa nền tảng bằng Flutter. Xây dựng, tích hợp và tối ưu hóa API bằng Laravel (PHP). Thiết kế giao diện người dùng trực quan, thân thiện (UI/UX) cho app mobile. Tích hợp các dịch vụ bên ngoài: thanh toán, gửi mail, Firebase, Noti, v.v. Tham gia phân tích yêu cầu, đóng góp ý tưởng cải thiện sản phẩm cùng team. Làm việc chặt chẽ với team BA, QA, thiết kế và các bộ phận liên quan.",https://www.topcv.vn/viec-lam/developer-phat-trien-phan-mem-chuyen-doi-so-php/1937626.html?ta_source=ITJobs_LinkDetail,Thoả thuận,CÔNG TY CỔ PHẦN KAOPIZ HOLDINGS,https://www.topcv.vn/cong-ty/cong-ty-co-phan-kaopiz-holdings/161426.html,Cập nhật 3 ngày trước,Còn27ngày để ứng tuyển,"Git, PHP, RESTful APIs, 2+",Hà Nội
