job_id,job_title,company,salary_min,salary_max,yrs_of_exp_min,yrs_of_exp_max,job_city,due_date,jd,job_url,salary_text,company_name,company_link,updated_at,time_left,tags,location
1704475,Project Manager,N/A,25.0,32.0,3.0,3.0,Hà Nội,,"Lập kế hoạch và quản lý toàn bộ vòng đời dự án: từ lên kế hoạch, triển khai đến nghiệm thu, vận hành.Quản trị rủi ro, chất lượng và tiến độ: nhận diện vấn đề, ngăn ngừa rủi ro, đảm bảo đúng timeline.Tiếp nhận và phân tích yêu cầu: làm việc với các phòng ban & khách hàng để thu thập, biết sắp xếp ưu tiên tính năng.Phân chia công việc và quản lý team: đánh giá năng lực, quản lý workload, phối hợp BA, Dev, QA, Tester.Quản lý ngân sách và nguồn lực: theo dõi chi phí và hiệu suất sử dụng nhân lực.Tổ chức các nghi thức Agile/Scrum: Daily Standup, Sprint Planning, Sprint Review.Báo cáo với stakeholder: cập nhật tiến độ, đề xuất giải pháp, đề xuất cải tiến quy trình phát triển phần mềm.",https://www.topcv.vn/viec-lam/project-manager/1704475.html?ta_source=ITJobs_LinkDetail,25 - 32 triệu,CÔNG TY CỔ PHẦN MỸ PHẨM QUỐC TẾ THÙY DUNG,https://www.topcv.vn/cong-ty/cong-ty-co-phan-my-pham-quoc-te-thuy-dung/19771.html,Cập nhật 1 tuần trước,Còn23ngày để ứng tuyển,"Quản Lý Dự Án, Quản Lý Ngân Sách, Quản Lý Rủi Ro, 2+",Hà Nội
1859238,IT Project Manager (Outsourcing),N/A,,,5.0,,Hà Nội,,"• Coordinate internal resources and third-party vendors for flawless project execution.• Ensure all projects are delivered on time, within scope, and within budget.• Develop project scopes and objectives with stakeholders, ensuring technical feasibility.• Ensure resource availability and allocation.• Develop detailed project plans to track progress.• Manage changes in project scope, schedule, and costs using verification techniques.• Measure project performance using appropriate systems, tools, and techniques.• Report and escalate issues to management as needed.• Manage relationships with clients and all stakeholders.• Perform risk management to minimize project risks.• Establish and maintain relationships with third-party vendors.• Create and maintain comprehensive project documentation..",https://www.topcv.vn/viec-lam/it-project-manager-outsourcing/1859238.html?ta_source=ITJobs_LinkDetail,Thoả thuận,Công ty TNHH NTT DATA VIỆT NAM,https://www.topcv.vn/cong-ty/cong-ty-tnhh-ntt-data-viet-nam/17638.html,Cập nhật 1 tuần trước,Còn19ngày để ứng tuyển,"Quản lý thời gian, Quản Lý Dự Án, Quản Lý Chi Phí, 2+",Hà Nội
590357,Nhân Viên Kỹ Thuật,N/A,,15.0,1.0,1.0,Hải Phòng,,"- Sửa chữa máy tính, máy in.- Khắc phục sự cố wifi, máy tính, máy in- Cài đặt phần mềm, chương trình, ứng dụng văn phòng.- Biết sửa một số lỗi máy in cơ bản, đổ mực các loại máy in-Sửa chữa, bảo trì máy tính, máy in-Thiết lập phần cứng (máy tính, máy in, thiết bị mạng)",https://www.topcv.vn/viec-lam/nhan-vien-ky-thuat/590357.html?ta_source=ITJobs_LinkDetail,Tới 15 triệu,CÔNG TY TNHH CÔNG NGHỆ MVP VIỆT KHÁNH,https://www.topcv.vn/cong-ty/cong-ty-tnhh-cong-nghe-mvp-viet-khanh/82986.html,Cập nhật 1 tuần trước,Còn23ngày để ứng tuyển,,Hải Phòng
1605639,"Kỹ Sư Cầu Nối (BrSE, N2/N1)",N/A,,,3.0,3.0,"Hà Nội, Hồ Chí Minh",,"Là một Công ty hoạt động trong lĩnh vực Y tế số, chúng tôi coi nhân sự là trung tâm của mọi hành động. Ominext đang nỗ lực xây dựng một môi trường sống hạnh phúc, chú trọng tới phát triển chuyên môn và chăm sóc sức khỏe cho từng Cán bộ nhân viên, người thân của họ! Gia nhập Ominext ngay hôm nay để tận hưởng các ưu đãi đặc quyền dành riêng cho người Omi.Với vai trò là Kỹ sư cầu nối, ứng viên sẽ thực hiện các công việc:Làm việc trực tiếp với khách hàng Nhật Bản. Là cầu nối trực tiếp giữa đội dự án tại Việt Nam và khách hàng tại Nhật Bản.Thu thập, làm rõ, và truyền đạt yêu cầu từ khách hàng đến đội phát triển.Đảm bảo thông tin được truyền tải chính xác và đầy đủ.Hỗ trợ quản lý dự án: Theo dõi tiến độ dự án, đảm bảo các mốc thời gian và chất lượng được đáp ứng. Báo cáo tiến độ dự án định kỳ cho khách hàng. Phối hợp xử lý các yêu cầu thay đổi (Change Request) từ khách hàng.Kiểm soát chất lượng giao tiếp: Duy trì sự hiểu biết chung giữa đội kỹ thuật và khách hàng, tránh mâu thuẫn hoặc hiểu lầm. Chuẩn bị và tham gia các cuộc họp với khách hàng, bao gồm cả họp trực tiếp và trực tuyến.Văn hóa và giao tiếp: Sử dụng tiếng Nhật để giao tiếp chuyên nghiệp trong email, tài liệu, và họp.Hiểu văn hóa làm việc của người Nhật và điều chỉnh cách làm việc để phù hợp.Hỗ trợ tài liệu: Dịch thuật (Nhật - Việt - Anh) các tài liệu kỹ thuật hoặc yêu cầu dự án khi cần.Soạn thảo các tài liệu họp, báo cáo tiến độ và tài liệu liên quan.",https://www.topcv.vn/viec-lam/ky-su-cau-noi-brse-n2-n1/1605639.html?ta_source=ITJobs_LinkDetail,Thoả thuận,CÔNG TY CỔ PHẦN OMINEXT,https://www.topcv.vn/cong-ty/cong-ty-co-phan-ominext/134456.html,Cập nhật 1 tuần trước,Còn20ngày để ứng tuyển,"Kỹ năng giao tiếp, Kỹ năng làm việc nhóm, tiếng việt, 2+","Hà Nội, Hồ Chí Minh"
1887442,Trưởng Nhóm ESG,N/A,25.0,35.0,3.0,3.0,Hà Nội,,"Tham gia hoạch định, xây dựng và triển khai chiến lược phát triển bền vững, đảm bảo tổ chức tuân thủ các tiêu chuẩn ESG quốc tế và đáp ứng yêu cầu của nhà đầu tư, khách hàng, cơ quan quản lýQuản trị và thực thi hiệu quả: Thiết lập hệ thống mục tiêu, ma trận vấn đề trọng yếu, theo dõi, triển khai và xây dựng báo cáo phát triển bền vữngGóp phần nâng cao uy tín thương hiệu, giảm thiểu rủi ro và tạo ra giá trị bền vững cho doanh nghiệp và cộng đồngTham gia hoạch định và xây dựng chiến lược phát triển bền vững tại công tyLập kế hoạch hành động ESG cho công ty theo tháng/quý/nămPhối hợp với các phòng ban xây dựng kế hoạch và triển khai các hoạt động ESG để đạt được mục tiêu và kế hoạch KPIXây dựng và thiết lập ma trận các vấn đề trọng yếuThiết lập mục tiêu, chỉ tiêu ESG, theo dõi, giám sát, đo lường tại Công tyPhân tích, viết báo cáo và xây dựng các đề xuất hoạt động ESG cho ban lãnh đạo công tyĐào tạo, truyền thông nội bộ và các hoạt động ESG trong công tyĐại diện công ty tham gia các hoạt động ESG với đối tác, cơ quan quản lý, cộng đồngThực hiện các công việc khác theo yêu cầu của Giám đốc Ban KSNB",https://www.topcv.vn/viec-lam/truong-nhom-esg/1887442.html?ta_source=ITJobs_LinkDetail,25 - 35 triệu,Công ty Cổ phần Tập đoàn Meey Land,https://www.topcv.vn/cong-ty/cong-ty-co-phan-tap-doan-meey-land/33933.html,Cập nhật 1 tuần trước,Còn23ngày để ứng tuyển,"Kỹ năng lãnh đạo, Kỹ năng giao tiếp, Kỹ Năng Quản Lý Dự Án, 2+",Hà Nội
1927707,Chuyên Viên Lập Trình Mobile - Mảng Tài Chính,N/A,18.0,20.0,3.0,3.0,Hà Nội,,"Thiết kế, phát triển và duy trì ứng dụng di động đa nền tảng (iOS & Android) bằng React Native (bao gồm tích hợp Native code nếu cần).Làm việc chặt chẽ với các team Sản phẩm, UX/UI và Backend để thiết kế, xây dựng các sản phẩm, nền tảng và tính năng mới.Tối ưu hiệu suất ứng dụng, giao diện người dùng (UI/UX) và đảm bảo tính ổn định khi xử lý dữ liệu chuyển động và hệ thống phần thưởng.Lập trình ứng dụng trên IOS.Lập trình ứng dụng trên Android.Sửa lỗi và các vấn đề trên ứng dụng.Đóng góp ý kiến đưa ra các giải pháp cho ứng dụng, đảm bảo hiệu suất sử dụng của App.",https://www.topcv.vn/viec-lam/chuyen-vien-lap-trinh-mobile-mang-tai-chinh/1927707.html?ta_source=ITJobs_LinkDetail,18 - 20 triệu,Công ty Cổ phần Tập đoàn Đầu tư EMIR,https://www.topcv.vn/cong-ty/cong-ty-co-phan-tap-doan-dau-tu-emir/123921.html,Cập nhật 1 tuần trước,Còn19ngày để ứng tuyển,"Lập Trình Swift Kotlin, Xây Dựng Ui Ux, Làm Việc Với Restful Api, 5+",Hà Nội
1886782,Project Manager,N/A,,,3.0,3.0,Hà Nội,,"– Nghiên cứu, đánh giá, góp ý hoàn thiện hợp đồng với khách hàng/đối tác;– Lập kế hoạch triển khai dự án;– Quản lý, điều hành và kiểm soát các hoạt động của dự án;Xử lý các trở ngại, rủi ro trong dự án đảm bảo tiến độ dự án;– Xây dựng, duy trì và phát triển  mối quan hệ với khách hàng/đối tác;– Thực hiện các công việc khác theo yêu cầu của các cấp quản lý bộ phận, BLĐ công ty;",https://www.topcv.vn/viec-lam/project-manager/1886782.html?ta_source=ITJobs_LinkDetail,Thoả thuận,AMIGO,https://www.topcv.vn/cong-ty/amigo/107358.html,Cập nhật 1 tuần trước,Còn23ngày để ứng tuyển,"Quản lý thời gian, Giao tiếp, Quản Lý Ngân Sách, 2+",Hà Nội
1757106,Senior Product Owner,N/A,,,3.0,3.0,Hà Nội,,"VPS Securities is looking for a highly motivated and experienced Product Owner to join our dynamic product team. This role is ideal for candidates who possess strong market insight, a product-driven mindset, and a passion for financial innovation. You will be responsible for researching market opportunities, designing investment products, and managing their full lifecycle—from ideation to post-launch optimization.Key ResponsibilitiesConduct in-depth research on domestic and international investment markets, with a focus on emerging trends in securities trading.Assess the feasibility and effectiveness of new product ideas based on data and financial modelsDevelop detailed Product Requirement Documents (PRDs), including business requirements, process flows, and key performance indicators.Collaborate closely with relevant departments such as Technology, Operations, Legal & Compliance, Business, and Marketing to ensure a smooth product development process from concept to launch.Participate in product testing, optimization, and go-to-market activities.Monitor and analyze product performance after launch, providing timely recommendations to optimize revenue and profitabilityCollect feedback from customers and stakeholders to continuously improve and enhance productsImplement other responsibilities from CEO/Head of Unit and the initiatives/projects/Agile teams as assigned.",https://www.topcv.vn/viec-lam/senior-product-owner/1757106.html?ta_source=ITJobs_LinkDetail,Thoả thuận,Công ty cổ phần chứng khoán VPS,https://www.topcv.vn/cong-ty/cong-ty-co-phan-chung-khoan-vps/199032.html,Cập nhật 1 tuần trước,Còn23ngày để ứng tuyển,"Phát Triển Sản Phẩm, Nghiên Cứu Thị Trường, Quản Lý Dự Án, 2+",Hà Nội
1876305,Product Owner (Domain Quản Lý Phòng Giao Dịch),N/A,,,3.0,3.0,Hà Nội,,"Tham gia xây dựng/phát triển Domain về Quản lý PGD1. Phân tích yêu cầuLàm việc trực tiếp với khách hàng (bên ngoài & nội bộ) để tiếp nhận yêu cầu và xác định phạm vi sản phẩmThực hiện đánh giá và sắp xếp ưu tiên theo yêu cầu kinh doanh và yêu cầu hệ thống cho các danh mục yêu cầu nhận được theo từng giai đoạn BacklogLập kế hoạch về nguồn lực và trực tiếp phân bổ nguồn lực (Dev, BA, Tester...) cho các giai đoạn của dự án2. Quản lý phát triển sản phẩmThiết lập mục tiêu và kế hoạch cho Squad team theo từng SprintHướng dẫn, đảm bảo các thành viên Squad team hiểu về yêu cầu và mục tiêu phát triển sản phẩmLà đầu mối tương tác với các Squad hoặc các đơn vị khác để đồng bộ các mục tiêu và công việc Chịu trách nhiệm nghiệm thu sản phẩm sau mỗi SprintChịu trách nhiệm phát hành sản phẩmTiếp nhận các phản hồi của khách hàng và đưa ra đề xuất để tối ưu liên tục theo vòng đời sản phẩm",https://www.topcv.vn/viec-lam/product-owner-domain-quan-ly-phong-giao-dich/1876305.html?ta_source=ITJobs_LinkDetail,Thoả thuận,Công ty CP Kinh doanh F88,https://www.topcv.vn/cong-ty/cong-ty-cp-kinh-doanh-f88/201111.html,Cập nhật 1 tuần trước,Còn23ngày để ứng tuyển,"Làm việc nhóm, Giao tiếp, Phân Tích Nghiệp Vụ, 2+",Hà Nội
1889548,Senior IT Security (Pentest & Security Assessment),N/A,25.0,45.0,3.0,3.0,Hà Nội,,"Thực hiện kiểm thử xâm nhập (penetration testing) cho các ứng dụng web, mobile, API và hệ thống nội bộ/ngoại viĐánh giá, phân tích các lỗ hổng bảo mật trong ứng dụng và hệ thống, từ đó đưa ra khuyến nghị khắc phục phù hợpThực hiện code review bảo mật (secure code review) cho các ứng dụng quan trọngTham gia xây dựng quy trình, tiêu chuẩn và checklist đánh giá bảo mật cho ứng dụng và APINghiên cứu, cập nhật các kỹ thuật tấn công, khai thác lỗ hổng mới (Zero-day, OWASP Top 10, SANS Top 25, CVE…)Hỗ trợ các nhóm phát triển (Dev, DevOps) và vận hành (Ops) trong việc triển khai biện pháp bảo mậtTham gia diễn tập an toàn thông tin (Red Teaming, Threat Simulation)Soạn báo cáo đánh giá, truyền đạt kết quả kiểm thử bảo mật tới các bên liên quan (bao gồm cả kỹ thuật và quản lý)Hướng dẫn/đào tạo đội ngũ về các vấn đề bảo mật ứng dụng, kỹ thuật pentest, và best practices",https://www.topcv.vn/viec-lam/senior-it-security-pentest-security-assessment/1889548.html?ta_source=ITJobs_LinkDetail,25 - 45 triệu,Công ty CP Kinh doanh F88,https://www.topcv.vn/cong-ty/cong-ty-cp-kinh-doanh-f88/201111.html,Cập nhật 1 tuần trước,Còn23ngày để ứng tuyển,"Risk Management, Vulnerability Assessment, Penetration Testing, 2+",Hà Nội
